epoch,accuracy,auc,fn,fp,loss,prc,precision,recall,tn,tp,val_accuracy,val_auc,val_fn,val_fp,val_loss,val_prc,val_precision,val_recall,val_tn,val_tp
0,0.48399999737739563,0.48504093289375305,510.0,522.0,0.8557433485984802,0.4874750077724457,0.4841897189617157,0.49000000953674316,478.0,490.0,0.5049999952316284,0.4941111207008362,274.0,23.0,0.6932845115661621,0.4918297529220581,0.5306122303009033,0.08666666597127914,277.0,26.0
1,0.5145000219345093,0.5324944853782654,583.0,388.0,0.6960426568984985,0.5298328995704651,0.5180124044418335,0.4169999957084656,612.0,417.0,0.5,0.5358555316925049,277.0,23.0,0.6935148239135742,0.5174591541290283,0.5,0.07666666805744171,277.0,23.0
2,0.5220000147819519,0.527737021446228,527.0,429.0,0.6944165229797363,0.5256348252296448,0.5243902206420898,0.4729999899864197,571.0,473.0,0.4699999988079071,0.47493892908096313,234.0,84.0,0.697441577911377,0.4897773563861847,0.4399999976158142,0.2199999988079071,216.0,66.0
3,0.5425000190734863,0.5627754926681519,515.0,400.0,0.6859546899795532,0.561163604259491,0.5480226278305054,0.48500001430511475,600.0,485.0,0.503333330154419,0.5031722187995911,296.0,2.0,0.7060366272926331,0.5080138444900513,0.6666666865348816,0.013333333656191826,298.0,4.0
4,0.5544999837875366,0.5923815369606018,457.0,434.0,0.6776515245437622,0.5971692204475403,0.5557830333709717,0.5429999828338623,566.0,543.0,0.5166666507720947,0.524233341217041,199.0,91.0,0.6949169039726257,0.521195113658905,0.5260416865348816,0.33666667342185974,209.0,101.0
5,0.5805000066757202,0.6362370252609253,459.0,380.0,0.6568465828895569,0.6517337560653687,0.5874049663543701,0.5410000085830688,620.0,541.0,0.5133333206176758,0.533144474029541,142.0,150.0,0.6991702914237976,0.5291223526000977,0.5129870176315308,0.5266666412353516,150.0,158.0
6,0.5979999899864197,0.6562069654464722,492.0,312.0,0.6492615342140198,0.6582964062690735,0.6195122003555298,0.5080000162124634,688.0,508.0,0.5350000262260437,0.5362722277641296,162.0,117.0,0.6964657306671143,0.5336611866950989,0.5411764979362488,0.46000000834465027,183.0,138.0
7,0.6159999966621399,0.6806809902191162,529.0,239.0,0.6300705075263977,0.6928169131278992,0.6633802652359009,0.47099998593330383,761.0,471.0,0.5116666555404663,0.5196888446807861,143.0,150.0,0.7246726751327515,0.5164152383804321,0.5114006400108337,0.5233333110809326,150.0,157.0
8,0.6340000033378601,0.718127965927124,467.0,265.0,0.6057642102241516,0.7191762924194336,0.6679198145866394,0.5329999923706055,735.0,533.0,0.5083333253860474,0.5133722424507141,203.0,92.0,0.7430077195167542,0.5009921789169312,0.5132275223731995,0.3233333230018616,208.0,97.0
9,0.6470000147819519,0.736702561378479,224.0,482.0,0.5861088633537292,0.7491490244865417,0.6168521642684937,0.7760000228881836,518.0,776.0,0.5149999856948853,0.5204888582229614,163.0,128.0,0.7381589412689209,0.5073063373565674,0.5169811248779297,0.4566666781902313,172.0,137.0
